"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.image_id","Answer.survey code","Approve","Reject"
"34XASH8KLQHAPA33HYRIAEH1106PM7","33GOZHXTK7QLMJ0XHKWFU9VVK4HSF6","Talk to chatbot to edit image","Instruct chatbots to perform image editing and answer questions","chatbot, image editing, survey","$0.50","Sun Apr 28 11:29:26 PDT 2019","1","BatchId:3623580;OriginalHitTemplateId:928390845;","3600","604800","Sun May 05 11:29:26 PDT 2019","","","32SCWG5HIIZAMRG5KKP292G2JXX6PZ","A3RGDW3H3FYB60","Approved","Sun Apr 28 12:38:45 PDT 2019","Sun Apr 28 12:46:19 PDT 2019","Sun May 05 12:46:19 PDT 2019","Sun Apr 28 16:02:37 PDT 2019","","","454","100% (1/1)","100% (1/1)","100% (1/1)","000000431211","bb9f94c7-e9a3-192d-5c6a-c18c7f26cd0d"
"3NOEP8XAU4XLJM27V5TRLVXZ84QXPZ","33GOZHXTK7QLMJ0XHKWFU9VVK4HSF6","Talk to chatbot to edit image","Instruct chatbots to perform image editing and answer questions","chatbot, image editing, survey","$0.50","Sun Apr 28 11:29:26 PDT 2019","1","BatchId:3623580;OriginalHitTemplateId:928390845;","3600","604800","Sun May 05 11:29:26 PDT 2019","","","33FOTY3KENGWLG6499RFU6QEC3U1CA","AFXF851Z4SWXM","Approved","Sun Apr 28 11:39:41 PDT 2019","Sun Apr 28 11:44:46 PDT 2019","Sun May 05 11:44:46 PDT 2019","Sun Apr 28 16:02:39 PDT 2019","","","305","100% (2/2)","100% (2/2)","100% (2/2)","000000429887","73eaa835-3511-07b1-6899-c67281aa44e0"
"3MXX6RQ9EV0ULKEXBURMOK01F9M4PS","33GOZHXTK7QLMJ0XHKWFU9VVK4HSF6","Talk to chatbot to edit image","Instruct chatbots to perform image editing and answer questions","chatbot, image editing, survey","$0.50","Sun Apr 28 11:29:26 PDT 2019","1","BatchId:3623580;OriginalHitTemplateId:928390845;","3600","604800","Sun May 05 11:29:26 PDT 2019","","","3K772S5NP96MMPBW7P0VCH6OE46EHI","A37SNPXGYNSSVX","Approved","Sun Apr 28 12:06:43 PDT 2019","Sun Apr 28 12:12:08 PDT 2019","Sun May 05 12:12:08 PDT 2019","Sun Apr 28 16:02:39 PDT 2019","","","325","100% (1/1)","100% (1/1)","100% (1/1)","000000423481","902c6124-2a80-d178-9914-d5843cbec1fb"
"31JUPBOORNZ5D0M1V5OSOF7MCLGL8H","33GOZHXTK7QLMJ0XHKWFU9VVK4HSF6","Talk to chatbot to edit image","Instruct chatbots to perform image editing and answer questions","chatbot, image editing, survey","$0.50","Sun Apr 28 11:29:26 PDT 2019","1","BatchId:3623580;OriginalHitTemplateId:928390845;","3600","604800","Sun May 05 11:29:26 PDT 2019","","","32SVAV9L3G4424NLCZ97C4FNAL43AL","A2KLT3Z3UUJCQV","Approved","Sun Apr 28 13:41:29 PDT 2019","Sun Apr 28 13:46:55 PDT 2019","Sun May 05 13:46:55 PDT 2019","Sun Apr 28 16:02:38 PDT 2019","","","326","100% (1/1)","100% (1/1)","100% (1/1)","000000420146","0549e607-73c9-bb2b-280d-4aa1a1a48633"
"3IKDQS3DQEV5Z248RE7KYLBDL87IC6","33GOZHXTK7QLMJ0XHKWFU9VVK4HSF6","Talk to chatbot to edit image","Instruct chatbots to perform image editing and answer questions","chatbot, image editing, survey","$0.50","Sun Apr 28 11:29:27 PDT 2019","1","BatchId:3623580;OriginalHitTemplateId:928390845;","3600","604800","Sun May 05 11:29:27 PDT 2019","","","35K3O9HUAC828TKQCZCV9WUBYPQFEI","A25AJ66CYVUTBR","Approved","Sun Apr 28 11:43:18 PDT 2019","Sun Apr 28 11:47:45 PDT 2019","Sun May 05 11:47:45 PDT 2019","Sun Apr 28 16:02:39 PDT 2019","","","267","100% (1/1)","100% (1/1)","100% (1/1)","000000414607","ff1db4d8-c4e7-bf2a-1765-eb0a852b0094"
"338GLSUI4361WSRENSRZAT23RJ1SFJ","33GOZHXTK7QLMJ0XHKWFU9VVK4HSF6","Talk to chatbot to edit image","Instruct chatbots to perform image editing and answer questions","chatbot, image editing, survey","$0.50","Sun Apr 28 11:29:27 PDT 2019","1","BatchId:3623580;OriginalHitTemplateId:928390845;","3600","604800","Sun May 05 11:29:27 PDT 2019","","","35BLDD71I7SPFLXC81VCCSYFAPNVZS","A2BRZKFG6WAVER","Approved","Sun Apr 28 11:48:12 PDT 2019","Sun Apr 28 11:54:44 PDT 2019","Sun May 05 11:54:44 PDT 2019","Sun Apr 28 16:02:39 PDT 2019","","","392","100% (1/1)","100% (1/1)","100% (1/1)","000000413297","6459d297-7419-1b5b-b0f9-dfc40019da10"
"3T2EL38U0MF6JY3MVI8GL0N9D0CXQQ","33GOZHXTK7QLMJ0XHKWFU9VVK4HSF6","Talk to chatbot to edit image","Instruct chatbots to perform image editing and answer questions","chatbot, image editing, survey","$0.50","Sun Apr 28 11:29:27 PDT 2019","1","BatchId:3623580;OriginalHitTemplateId:928390845;","3600","604800","Sun May 05 11:29:27 PDT 2019","","","3FDJT1UU753DSWJB29APLFG3TSA5KB","A2BV7O07LVX731","Approved","Sun Apr 28 11:55:38 PDT 2019","Sun Apr 28 12:03:01 PDT 2019","Sun May 05 12:03:01 PDT 2019","Sun Apr 28 16:02:37 PDT 2019","","","443","100% (1/1)","100% (1/1)","100% (1/1)","000000413088","b1322fe9-6b7a-bddc-adf3-aa8995dde160"
"3ZICQFRS31D42L4SJWFE9EFOQ3VZZJ","33GOZHXTK7QLMJ0XHKWFU9VVK4HSF6","Talk to chatbot to edit image","Instruct chatbots to perform image editing and answer questions","chatbot, image editing, survey","$0.50","Sun Apr 28 11:29:27 PDT 2019","1","BatchId:3623580;OriginalHitTemplateId:928390845;","3600","604800","Sun May 05 11:29:27 PDT 2019","","","31IBVUNM9TUJA46C7P1590IXYKUVF5","ASAIXYNK2AXTR","Approved","Sun Apr 28 11:56:56 PDT 2019","Sun Apr 28 12:03:15 PDT 2019","Sun May 05 12:03:15 PDT 2019","Sun Apr 28 16:02:41 PDT 2019","","","379","100% (1/1)","100% (1/1)","100% (1/1)","000000407688","b9d82a6e-bc11-5452-bf29-6fe3461dc40b"
"375VMB7D4JEF4UAMRA2VIRTV68JID6","33GOZHXTK7QLMJ0XHKWFU9VVK4HSF6","Talk to chatbot to edit image","Instruct chatbots to perform image editing and answer questions","chatbot, image editing, survey","$0.50","Sun Apr 28 11:29:27 PDT 2019","1","BatchId:3623580;OriginalHitTemplateId:928390845;","3600","604800","Sun May 05 11:29:27 PDT 2019","","","3UJ1CZ6IZIKBGFWJ7IJRC17DAMKS5C","A1DCKRRPA4AWVD","Approved","Sun Apr 28 11:37:34 PDT 2019","Sun Apr 28 11:49:38 PDT 2019","Sun May 05 11:49:38 PDT 2019","Sun Apr 28 16:02:39 PDT 2019","","","724","100% (1/1)","100% (1/1)","100% (1/1)","000000397423","097caf42-0be1-eca9-eab4-ef8c3c32ef5e"
"3SBX2M1TKDIFLWFCB76BOPQBK584QJ","33GOZHXTK7QLMJ0XHKWFU9VVK4HSF6","Talk to chatbot to edit image","Instruct chatbots to perform image editing and answer questions","chatbot, image editing, survey","$0.50","Sun Apr 28 11:29:27 PDT 2019","1","BatchId:3623580;OriginalHitTemplateId:928390845;","3600","604800","Sun May 05 11:29:27 PDT 2019","","","34Q075JO1Y8CROBOXTYVZ5OD3E010K","A6EZB0N12JX39","Approved","Sun Apr 28 12:03:35 PDT 2019","Sun Apr 28 12:07:37 PDT 2019","Sun May 05 12:07:37 PDT 2019","Sun Apr 28 16:02:39 PDT 2019","","","242","100% (1/1)","100% (1/1)","100% (1/1)","000000396784","e7e8cc38-dd6d-9cfc-27d1-033b7d2bfa36"
"36BTXXLZ2V3FXXUCOMVBTF0GGRA4RK","33GOZHXTK7QLMJ0XHKWFU9VVK4HSF6","Talk to chatbot to edit image","Instruct chatbots to perform image editing and answer questions","chatbot, image editing, survey","$0.50","Sun Apr 28 11:29:27 PDT 2019","1","BatchId:3623580;OriginalHitTemplateId:928390845;","3600","604800","Sun May 05 11:29:27 PDT 2019","","","326O153BMJT5A96ULTH5LWRQMCEEDA","A3QFA2I8AL9J9F","Approved","Sun Apr 28 12:13:18 PDT 2019","Sun Apr 28 12:19:26 PDT 2019","Sun May 05 12:19:26 PDT 2019","Sun Apr 28 16:02:39 PDT 2019","","","368","100% (1/1)","100% (1/1)","100% (1/1)","000000384029","e123174a-32f2-363a-378c-83ccf413f910"
"3SNR5F7R92OKW0OMN5DFO9BG6KKIEZ","33GOZHXTK7QLMJ0XHKWFU9VVK4HSF6","Talk to chatbot to edit image","Instruct chatbots to perform image editing and answer questions","chatbot, image editing, survey","$0.50","Sun Apr 28 11:29:27 PDT 2019","1","BatchId:3623580;OriginalHitTemplateId:928390845;","3600","604800","Sun May 05 11:29:27 PDT 2019","","","3X65QVEQI1I9BNA82J9YELZSA9BCL3","A1DBE2OL84TBKB","Approved","Sun Apr 28 13:07:47 PDT 2019","Sun Apr 28 13:09:49 PDT 2019","Sun May 05 13:09:49 PDT 2019","Sun Apr 28 16:02:41 PDT 2019","","","122","100% (1/1)","100% (1/1)","100% (1/1)","000000376802","d38f1aae-1236-2ac6-773f-12d1e13a3e5b"
"341YLJU21IUS1KC6ULIEM82R9HV2II","33GOZHXTK7QLMJ0XHKWFU9VVK4HSF6","Talk to chatbot to edit image","Instruct chatbots to perform image editing and answer questions","chatbot, image editing, survey","$0.50","Sun Apr 28 11:29:27 PDT 2019","2","BatchId:3623580;OriginalHitTemplateId:928390845;","3600","604800","Sun May 05 16:02:40 PDT 2019","","","3483FV8BEFEEUKFZIMEQDP898O162A","AWWLXQEJDDH4F","Submitted","Sun Apr 28 16:04:42 PDT 2019","Sun Apr 28 16:16:01 PDT 2019","Sun May 05 16:16:01 PDT 2019","","","","679","0% (0/0)","0% (0/0)","0% (0/0)","000000372669","503f3362-10ea-a4bb-703f-60279d0a9660"
"341YLJU21IUS1KC6ULIEM82R9HV2II","33GOZHXTK7QLMJ0XHKWFU9VVK4HSF6","Talk to chatbot to edit image","Instruct chatbots to perform image editing and answer questions","chatbot, image editing, survey","$0.50","Sun Apr 28 11:29:27 PDT 2019","2","BatchId:3623580;OriginalHitTemplateId:928390845;","3600","604800","Sun May 05 16:02:40 PDT 2019","","","3SKRO2GZ72ME4EIS1M8DIP3MHC7K1A","A3T1HT3DMZBDWW","Rejected","Sun Apr 28 12:13:35 PDT 2019","Sun Apr 28 12:46:56 PDT 2019","Sun May 05 12:46:56 PDT 2019","","Sun Apr 28 16:02:39 PDT 2019","You submitted more than one HIT.  Your additional HITs will be rejected.","2001","67% (2/3)","67% (2/3)","67% (2/3)","000000372669","755aab8b-4405-cfa3-6462-b908b55e4d8e"
"3AJA9FLWSCTC2EOIIGXL6RWGILZIFH","33GOZHXTK7QLMJ0XHKWFU9VVK4HSF6","Talk to chatbot to edit image","Instruct chatbots to perform image editing and answer questions","chatbot, image editing, survey","$0.50","Sun Apr 28 11:29:27 PDT 2019","1","BatchId:3623580;OriginalHitTemplateId:928390845;","3600","604800","Sun May 05 11:29:27 PDT 2019","","","3ND9UOO81LXIPLGDJA9ZQF6V2PJLWB","A1CY01G7686ORZ","Approved","Sun Apr 28 12:00:10 PDT 2019","Sun Apr 28 12:02:48 PDT 2019","Sun May 05 12:02:48 PDT 2019","Sun Apr 28 16:02:39 PDT 2019","","","158","100% (1/1)","100% (1/1)","100% (1/1)","000000372292","4f15eb61-2140-92c3-8184-5d664cecae95"
"34F34TZU7WUOWVWCC33EY9HRMWK2JU","33GOZHXTK7QLMJ0XHKWFU9VVK4HSF6","Talk to chatbot to edit image","Instruct chatbots to perform image editing and answer questions","chatbot, image editing, survey","$0.50","Sun Apr 28 11:29:27 PDT 2019","1","BatchId:3623580;OriginalHitTemplateId:928390845;","3600","604800","Sun May 05 11:29:27 PDT 2019","","","3U088ZLJVLO5SPRRUHNGSVE7ZR60WF","A1UJ2M1AKWMNLC","Approved","Sun Apr 28 11:38:49 PDT 2019","Sun Apr 28 11:47:41 PDT 2019","Sun May 05 11:47:41 PDT 2019","Sun Apr 28 16:02:40 PDT 2019","","","532","100% (1/1)","100% (1/1)","100% (1/1)","000000323475","ca519e5b-7b9d-5d5b-c00b-2dd9c0a567a8"
"3E22YV8GG11G7SO3TZ6INT616QGPN7","33GOZHXTK7QLMJ0XHKWFU9VVK4HSF6","Talk to chatbot to edit image","Instruct chatbots to perform image editing and answer questions","chatbot, image editing, survey","$0.50","Sun Apr 28 11:29:27 PDT 2019","1","BatchId:3623580;OriginalHitTemplateId:928390845;","3600","604800","Sun May 05 11:29:27 PDT 2019","","","3Y4W8Q93L0FMCKSGGJ6FL0FCM7CDVA","A2OEDX14YO8EFJ","Approved","Sun Apr 28 11:30:56 PDT 2019","Sun Apr 28 11:44:17 PDT 2019","Sun May 05 11:44:17 PDT 2019","Sun Apr 28 16:02:40 PDT 2019","","","801","100% (1/1)","100% (1/1)","100% (1/1)","000000305546","2774670a-906d-bc5c-a11f-c766d9c3f99e"
"372AGES0I406VZIM8XXGQQXE9MEXRR","33GOZHXTK7QLMJ0XHKWFU9VVK4HSF6","Talk to chatbot to edit image","Instruct chatbots to perform image editing and answer questions","chatbot, image editing, survey","$0.50","Sun Apr 28 11:29:27 PDT 2019","1","BatchId:3623580;OriginalHitTemplateId:928390845;","3600","604800","Sun May 05 11:29:27 PDT 2019","","","3A4TN5196LD7PRRIBYU0MT6LTTFHCG","A3UGD39YQAZPUN","Approved","Sun Apr 28 14:24:34 PDT 2019","Sun Apr 28 14:30:11 PDT 2019","Sun May 05 14:30:11 PDT 2019","Sun Apr 28 16:02:37 PDT 2019","","","337","100% (1/1)","100% (1/1)","100% (1/1)","000000304757","47d46097-beb9-3990-b409-8401cc782297"
